96101805,10,11,20,12,24,77
96101816,5,11,18,17,22,73
96101827,9,20,20,20,22,91
96101838,10,3,15,20,29,77
96101849,10,15,20,15,24,84
96101851,10,2,12,18,19,61
96101862,10,20,20,18,30,98
96101873,10,20,20,20,28,98
96101884,10,2,20,15,24,71
96101895,10,4,20,20,13,67
96101902,10,20,18,20,16,84
96101913,9,3,20,7,20,59
96101924,10,10,18,12,24,74
96101935,10,3,18,12,24,67
96101946,4,5,20,5,18,52
96101957,6,20,20,12,30,88
96101968,10,18,20,20,30,98
96101979,7,3,20,13,30,73
96101981,10,2,7,16,18,53
96101992,10,17,20,20,26,93
96102007,10,4,18,16,30,78
96102018,10,10,15,8,24,67
96102029,10,3,19,10,25,67
96102031,6,3,16,1,10,36
96102042,10,11,20,16,24,81
96102053,10,4,20,17,25,76
96102064,10,10,20,20,30,90
96102075,10,3,20,5,24,62
96102086,10,11,18,19,29,87
96102097,10,1,15,0,18,44
96102104,10,5,20,20,25,80
96102115,10,2,17,20,22,71
96102126,10,7,18,7,23,65
96102137,10,4,18,20,25,77
96102148,10,20,20,20,28,98
96102159,6,2,20,6,16,50
96102161,10,3,18,5,24,60
96102172,10,20,20,20,30,100
96102183,10,3,20,17,28,78
96102194,10,20,20,20,30,100
96102201,10,20,16,20,30,96
96102212,10,11,17,20,26,84
96102223,10,2,13,17,25,67
96102234,10,13,15,12,25,75
96102245,10,3,18,18,23,72
96102256,10,10,20,20,24,84
96102267,10,11,19,20,24,84
96102278,10,18,20,6,30,84
96102289,10,7,20,20,27,84
96102291,10,20,19,16,28,93
96102307,10,2,15,20,16,63
96102318,10,10,20,10,26,76
96102329,10,10,20,15,26,81
96102331,10,18,20,20,26,94
96102342,10,3,16,19,30,78
96102353,10,18,20,20,30,98
96102364,10,3,16,4,28,61
96102375,10,16,18,19,30,93
96102386,10,4,15,12,25,66
96102397,8,2,11,20,7,48
96102404,10,13,17,14,26,80
96102415,10,20,20,20,24,94
96102426,10,4,11,5,19,49
96102437,10,6,6,20,24,66
96102448,10,12,20,13,25,80
96102459,10,9,20,20,29,88
96102461,10,12,20,16,24,82
96102472,8,4,20,5,27,64
96102483,10,12,20,10,30,82
96102494,6,10,20,10,25,71
96102501,10,5,16,3,15,49
96102512,10,20,19,20,24,93
96102523,8,4,16,13,24,65
96102534,2,2,15,2,22,43
96102545,10,7,15,15,20,67
96102556,10,1,20,8,7,46
96102567,3,2,18,2,22,47
96102578,10,20,20,18,29,97
96102589,10,2,18,8,26,64
96102591,10,20,20,14,28,92
96102607,10,2,15,18,16,61
96102618,10,4,18,18,24,74
96102629,10,20,15,20,29,94
96102631,10,11,19,20,29,89
96102642,2,3,18,10,21,54
96102653,8,11,20,15,24,78
96102664,1,16,18,8,27,70
96102675,10,4,18,20,25,77
96102686,10,20,20,20,25,95
96102697,10,3,18,17,30,78
96102704,4,7,20,6,16,53
96102715,4,5,20,6,21,56
96102726,10,2,20,12,24,68
96102737,5,2,3,0,6,16
96102748,8,3,15,3,16,45
96102759,1,2,11,0,3,17
96102761,6,3,7,2,16,34
96102772,10,12,20,10,24,76
96102783,6,2,13,5,14,40
96102794,3,0,15,5,3,26
96102801,1,2,5,0,12,20
96102812,10,2,15,2,14,43
96102823,1,4,15,0,17,37
96102834,10,2,5,12,12,41
96102845,2,2,11,0,21,36
96102856,10,1,8,8,19,46
96102867,5,2,11,0,14,32
96102878,10,14,20,8,23,75
96102889,8,0,10,13,16,47
96102891,10,3,19,10,16,58
96102907,10,2,20,8,11,51
96102918,0,2,5,6,16,29
96102929,4,2,10,2,16,34
96102931,10,20,20,5,20,75
96102942,5,5,12,20,29,71
96102953,10,2,18,10,16,56
96102964,10,4,11,7,18,50
96102975,0,4,11,0,15,30
96102986,5,0,17,8,12,42
96102997,5,12,18,12,19,66
96103003,8,12,20,20,23,83
96103014,10,16,20,15,25,86
96103025,0,7,20,0,12,39
96103036,9.5,10,14,5,22,60.5
96103047,8,2,10,17,18,55
96103058,4,3,20,4,16,47
96103069,10,5,20,1,12,48
96103071,10,3,18,8,26,65
96103082,10,4,7,2,20,43
96103093,10,18,20,20,23,91
96103109,10,19,8,5,15,57
96103111,8,9,20,12,21,70
96103122,1,0,16,8,17,42
96103133,10,6,4,0,10,30
96103144,10,2,19,5,16,52
96103155,1,2,15,6,13,37
96103166,9,6,15,5,22,57
96103177,9,4,15,7,14,49
96103188,6,3,11,3,9,32
96103199,8,10,20,8,24,70
96103206,10,19,18,20,21,88
96103217,2,2,18,2,16,40
96103228,5,3,20,5,18,51
96103239,1,3,6,7,17,34
96103241,10,7,12,8,16,53
96103252,10,3,17,0,18,48
96103263,4,10,20,6,8,48
96103274,8,3,7,20,22,60
96103285,6,1,20,3,22,52
96103296,0,0,20,7,16,43
96103303,0,11,14,3,14,42
96103314,10,7,19,10,6,52
96103325,1,1,14,4,18,38
96103336,10,12,18,6,23,69
96103347,2,5,5,0,14,26
96103358,0,3,20,2,15,40
96103369,6,3,14,6,16,45
96103371,5,3,10,3,17,38
96103382,8,10,17,8,24,67
96103393,9.5,3,6,0,15,33.5
96103409,10,10,18,12,21,71
96103411,1,8,20,4,8,41
96103422,8,5,15,0,13,41
96103433,0,4,16,8,19,47
96103444,9.5,14,11,10,13,57.5
96103455,2,2,20,6,25,55
96103466,5,2,20,12,18,57
96103477,4,10,19,6,20,59
96103488,10,3,20,3,25,61
96103499,3,7,20,12,22,64
96103506,2,3,9,3,16,33
96103517,0,3,17,2,17,39
96103528,10,13,19,7,16,65
96103539,6,10,20,3,23,62
96103541,10,16,19,18,26,89
96103552,0,3,11,0,21,35
96103563,2,9,20,6,17,54
96103574,7,12,7,2,24,52
96103585,2,4,8,20,15,49
96103596,5,7,16,5,16,49
96103603,9,20,13,2,28,72
96103614,1,1,6,1,3,12
96103625,2,3,18,3,15,41
96103636,3,7,12,0,19,41
96103647,0,0,0,0,0,0
96103658,10,15,20,12,19,76
96103669,10,2,18,13,12,55
96103671,6,8,20,0,21,55
96103682,3,2,4,5,18,32
96103693,0,5,8,0,9,22
96103709,10,4,20,6,18,58
96103711,2,4,3,4,2,15
96103722,10,10,20,13,26,79
96103733,8,3,20,5,16,52
96103744,6,3,18,9,19,55
96103755,10,10,20,7,23,70
96103766,6,0,7,2,19,34
96103777,5,3,4,0,3,15
96103788,10,2,20,10,22,64
96103799,8,2,15,4,9,38
96103806,7,8,18,12,12,57
96103817,4,10,20,7,18,59
96103828,6,2,19,4,21,52
96103839,10,11,17,8,19,65
96103841,10,13,19,10,12,64
96103852,10,14,10,7,23,64
96103863,1,12,14,0,6,33
96103874,0,5,12,0,0,17
96103885,8,3,11,14,22,58
96103896,10,3,15,5,18,51
96103903,5,4,18,6,16,49
96103914,10,13,20,0,23,66
96103925,10,20,20,18,20,88
96103936,6,3,7,20,19,55
96103947,6,3,10,0,10,29
96103958,10,8,19,0,18,55
96103969,10,9,13,0,20,52
96103971,10,19,18,0,17,64
96103982,2,2,20,3,18,45
96103993,10,20,15,6,23,74
96104008,10,3,18,18,22,71
96104019,10,4,18,0,24,56
96104021,1,4,3,0,14,22
96104032,1,3,18,5,22,49
96104043,1,3,20,2,24,50
96104054,0,1,13,8,21,43
96104065,2,3,18,17,20,60
96104076,10,12,16,20,24,82
96104087,5,3,0,2,10,20
96104098,8,10,20,6,27,71
96104105,10,2,15,19,16,62
96104116,2,3,8,2,14,29
96104127,8,3,15,20,22,68
96104138,10,17,20,20,25,92
96104149,6,0,19,16,18,59
96104151,10,3,19,18,6,56
96104162,8,11,20,2,16,57
96104173,0,3,12,3,12,30
96104184,10,3,20,10,24,67
96104195,10,3,1,2,18,34
96104202,10,11,20,5,16,62
96104213,8,11,20,8,22,69
96104224,6,3,18,4,23,54
96104235,8,2,8,0,18,36
96104246,5,2,10,2,7,26
96104257,10,10,15,12,19,66
96104268,10,20,12,13,28,83
96104279,0,2,12,0,15,29
96104281,10,3,15,2,23,53
96104292,9,10,15,20,19,73
96104308,10,10,13,12,17,62
96104319,10,18,15,12,22,77
96104321,10,3,8,7,17,45
96104332,10,15,19,20,26,90
96104343,0,2,20,20,22,64
96104354,8,3,4,2,18,35
96104365,10,2,20,16,23,71
96104376,10,20,20,8,25,83
96104387,5,15,18,17,25,80
96104398,10,13,20,6,24,73
96104405,8,3,20,5,18,54
96104416,10,2,15,12,22,61
96104427,10,2,11,4,12,39
96104438,8,10,18,0,6,42
96104449,5,10,18,3,22,58
96104451,8,2,10,12,19,51
96104462,8,2,17,1,19,47
96104473,10,2,15,14,23,64
96104484,8,4,20,2,20,54
96104495,10,9,20,20,8,67
96104502,10,3,18,5,15,51
96104513,10,12,20,14,24,80
96104524,10,20,18,10,24,82
96104535,10,3,20,18,18,69
96104546,6,3,16,17,16,58
96104557,8,3,8,20,6,45
96104568,10,20,19,10,22,81
96104579,10,2,17,12,22,63
96104581,10,11,18,10,17,66
96104592,10,20,20,20,24,94
96104608,10,3,15,2,18,48
96104621,10,2,13,17,26,68
96104632,6,4,13,0,27,50
96104643,5,3,8,3,16,35
96104654,1,8,3,12,4,28
96104665,1,2,5,0,0,8
96104676,8,4,19,8,21,60
96104687,0,2,15,0,18,35
96104698,10,13,20,9,24,76
96104705,2,0,17,12,17,48
96104716,6,10,20,17,24,77
96104727,10,20,20,20,16,86
96104749,10,3,20,13,24,70
96104751,10,15,18,20,24,87
96104762,4,11,20,15,24,74
96104773,10,4,20,20,23,77
96104784,2,12,13,10,28,65
96104795,0,2,7,0,18,27
96104802,9,2,15,0,16,42
96104813,10,10,18,8,24,70
96104824,10,2,19,12,19,62
96104835,10,3,17,20,26,76
96104846,0,1,0,0,0,1
96104857,10,3,20,17,24,74
96104868,10,10,20,19,24,83
96104879,5,3,15,1,18,42
96104881,10,12,17,19,20,78
96104892,7,7,20,4,21,59
96104908,0,11,20,7,22,60
96104919,10,7,18,8,22,65
96104921,10,6,18,8,22,64
96104932,2,2,14,15,8,41
96104943,8,11,19,15,14,67
96104954,0,0,7,0,4,11
96104965,5,3,8,0,12,28
96104976,0,3,18,1,16,38
96104998,8,12,20,13,22,75
96105004,0,0,0,0,0,0
96105015,5,3,17,20,24,69
96105026,5,10,19,10,17,61
96105037,8,11,15,8,23,65
96105048,1,1,5,6,12,25
96105059,10,10,11,0,16,47
96105061,6,11,20,10,22,69
96105072,10,4,20,18,25,77
96105083,10,20,20,20,19,89
96105094,8,4,15,5,17,49
96105101,8,4,19,3,21,55
96105112,2,3,19,16,13,53
96105123,4,2,12,2,18,38
96105134,10,3,5,12,26,56
