91100351,7,20,3,6,15,10,61
91106795,0,0,0,0,0,0,0
91108128,0,8,0,1,0,0,9
92100104,10,13,10,10,30,4,76.5
92100329,6,18,4,4,13,0,44.5
92100386,5,8,0,6,0,0,19
92100461,0,13,0,4,0,0,16.5
92100494,10,10,18,10,30,7,85
92100556,0,0,0,0,0,0,0
92100607,0,14,0,10,0,10,34
92100748,0,9,0,10,14,0,33
92100761,6,18,0,6,1,3,34.25
92100801,7,14,20,6,13,10,70
92100823,7,14,12,10,22,0,65
92100834,6,14,15,9,20,0,63.5
92100845,10,20,16,0,0,0,46
92100918,7,20,0,0,0,0,27
92100931,6,13,10,10,3,1,42
92100986,5,5,0,0,0,0,10
92100997,2,14,4,4,0,0,23.5
92101382,6,14,0,1,1,0,21.5
92103072,0,11,4,10,14,4,42.5
92103189,5,12,7,10,0,0,34
92103789,0,0,0,0,0,0,0
92103926,0,13,0,10,11,8,42
92103937,0,12,0,10,30,7,59
92104536,7,20,8,5,5,0,45
92104977,7,20,3,5,13,7,54.5
92105481,7,14,2,10,9,0,42
92105819,5,16,5,4,0,6,36
92105821,6,2,10,1,14,0,32.5
92105832,7,15,3,0,10,5,40
92105854,7,19,10,10,0,1,47
92105916,0,4,0,3,3,0,10
92105951,0,10,10,10,20,8,58
92105962,0,0,0,0,0,0,0
92106045,0,13,0,1,0,0,14
92106056,1,10,18,10,12,3,53.5
92106356,0,5,0,1,7,2,15
92106504,0,0,0,2,0,0,2
92106526,0,6,0,0,0,0,6
92106583,0,7,0,6,0,0,13
92106594,5,4,0,7,0,0,16
92106601,6,18,4,4,0,0,31.5
92107074,0,4,2,1,10,1,18
92107606,6,6,0,6,0,0,17.25
92107696,0,0,0,0,0,0,0
92107782,0,0,0,0,0,0,0
92107793,0,7,2,0,3,0,12
92107809,5,14,4,7,7,8,44.5
92107906,5,9,0,10,10,8,42
92108081,0,13,3,2,0,0,18
92108121,0,9,8,10,14,2,43
92108143,6,2,0,0,0,1,8.5
